,,,,,,,,,,
Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,0.65,0.66,0.65,0.65,0.66,0.66,2.44,0.58,0.65,0.65
2,0.67,0.65,0.66,0.66,0.67,0.64,2.35,0.58,0.65,0.65
3,0.66,0.66,0.66,0.65,0.66,0.65,2.31,0.57,0.65,0.63
4,0.65,0.67,0.65,1.45,0.65,0.64,2.29,0.57,1.44,0.62
5,0.67,0.67,0.63,0.66,0.66,1.45,2.3,0.54,0.65,0.65
6,0.67,0.66,0.66,0.66,0.65,0.65,2.32,0.58,0.65,0.66
7,0.67,0.65,0.67,1.36,0.64,0.66,2.35,0.58,1.32,0.66
8,0.65,0.66,0.67,0.65,0.65,1.24,2.4,0.57,0.88,0.66
9,0.67,0.66,0.65,1.22,0.66,0.65,2.48,0.57,0.66,0.65
10,0.66,0.65,0.66,0.65,0.67,0.64,2.39,0.54,0.66,0.65
11,0.65,0.66,0.66,0.66,0.65,1.43,2.38,0.58,1.35,0.66
12,0.66,0.67,0.65,1.13,0.66,0.65,2.31,0.58,0.65,0.66
13,0.67,0.67,0.63,0.65,0.66,0.66,2.28,0.57,0.88,0.65
14,0.67,0.66,0.66,0.64,0.65,1.32,2.37,0.58,1.5,0.65
15,0.65,0.66,0.67,0.64,0.63,0.65,2.31,0.56,0.65,0.64
16,0.67,0.67,0.67,0.66,0.66,0.64,2.35,0.54,0.66,0.62
17,0.67,0.66,0.65,0.65,0.67,1.5,2.53,0.58,0.99,0.65
18,0.65,0.64,0.66,0.65,0.66,0.65,2.39,0.58,0.65,0.66
19,0.66,0.66,0.66,0.65,0.64,0.66,2.36,0.58,0.65,0.66
20,0.67,0.67,0.66,1.45,0.66,1.07,2.34,0.57,1.33,0.66
21,0.67,0.67,0.64,0.66,0.65,0.65,2.32,0.57,0.65,0.65
22,0.65,0.65,0.66,0.66,0.63,1.07,2.38,0.57,0.66,0.63
23,0.67,0.67,0.67,1.36,0.66,0.64,2.3,0.58,0.65,0.66
24,0.66,0.66,0.67,0.65,0.66,0.65,2.37,0.58,0.66,0.65
25,0.65,0.65,0.66,1.08,0.66,0.65,2.39,0.57,0.65,0.65
26,0.65,0.66,0.65,1.39,0.64,1.39,2.42,0.58,1.31,
27,0.67,0.67,0.66,0.66,0.66,0.65,2.34,0.57,0.65,0.63
28,0.67,0.67,0.66,0.65,0.65,1.08,2.43,0.58,0.66,0.65
29,0.66,0.66,0.65,0.65,0.64,0.99,2.33,0.58,0.64,0.66
30,0.67,0.65,0.65,0.65,0.64,0.66,2.33,0.57,0.65,0.66
31,0.66,0.67,0.67,1.5,0.67,0.65,2.42,0.58,0.65,0.66
32,0.65,0.66,0.67,0.66,0.67,1.35,2.34,0.54,1.47,0.66
33,0.66,0.64,0.67,0.66,0.64,0.65,2.34,0.58,0.66,0.65
34,0.67,0.67,0.65,1.09,0.66,0.97,2.33,0.58,0.66,0.66
35,0.67,0.67,0.66,0.65,0.66,1.52,2.44,0.57,1.25,0.66
36,0.65,0.67,0.66,1.12,0.65,0.65,2.34,0.58,0.66,0.65
37,0.67,0.65,0.65,0.65,0.65,0.66,2.34,0.54,0.65,0.65
38,0.67,0.67,0.64,0.66,0.66,1.18,2.33,0.54,1.51,0.64
39,0.65,0.66,0.66,0.65,0.67,0.65,2.31,0.58,0.66,0.64
40,0.66,0.65,0.67,0.65,0.65,0.64,2.3,0.57,0.66,0.66
41,0.67,0.66,0.67,0.65,0.65,1.48,2.46,0.59,1.13,0.66
42,0.67,0.67,0.65,1.45,0.66,0.65,2.43,0.56,0.65,0.66
43,0.65,0.67,0.64,0.65,0.65,0.66,2.37,0.54,1.08,0.66
44,0.67,0.65,0.66,0.66,0.63,0.64,2.35,0.58,1.53,0.65
45,0.66,0.67,0.65,1.34,0.66,0.65,2.35,0.58,0.65,0.64
46,0.64,0.66,0.64,0.65,0.67,0.65,2.32,0.59,0.66,0.66
47,0.67,0.66,0.66,0.99,0.66,1.24,2.34,0.57,1.17,0.65
48,0.67,0.64,0.67,0.64,0.63,0.65,2.3,0.55,0.65,0.65
49,0.67,0.67,0.67,0.66,0.66,0.65,2.27,0.58,0.65,0.64
50,0.66,0.67,0.66,0.65,0.65,0.65,2.34,0.58,1.28,0.65
51,0.67,0.67,0.64,0.65,0.64,1.16,2.4,0.59,1.15,0.66
52,0.66,0.65,0.66,0.65,0.66,0.65,2.41,0.57,0.65,0.66
53,0.64,0.67,0.66,1.47,0.67,0.94,2.36,0.56,0.65,0.67
54,0.67,0.66,0.64,0.65,0.67,1.53,2.44,0.58,1.17,0.65
55,0.67,0.65,0.64,0.66,0.64,0.65,2.32,0.58,0.65,0.63
