Time,V2
1,5
2,4.3
3,0
4,5
5,4.65
6,0
7,1.98
8,5
9,0.13
10,0
11,5
12,0
13,0.39
14,5
15,3.22
16,0.03
17,5
18,4.63
19,0
20,5
21,4.8
22,0
23,2.03
24,5
25,0
26,0
27,5
28,0.23
29,0.35
30,5
31,2.78
32,0.2
33,5
34,4.64
35,0
36,5
37,5
38,0
39,2.41
40,5
41,0
42,0.44
43,5
44,0.19
45,0.06
46,5
47,2.4
48,0.58
49,5
50,4.51
51,0
52,5
53,4.9
54,0
55,2.85
56,4.69
57,0
58,0.36
59,5
60,0
61,0
62,5
63,1.95
64,0.38
65,5
66,4.39
67,0
68,5
69,4.83
70,0
71,3.37
72,3.4
73,0
74,0.81
75,5
76,0
77,0.38
78,5
79,1.54
80,1.61
81,5
82,4.45
83,0
84,5
85,5
86,0
87,3.72
88,4.18
89,0
90,0.89
91,5
92,0
93,0.65
94,5
95,1.23
96,1.25
97,5
98,3.96
99,0
100,5
101,4.58
102,0
103,4.27
104,3.91
105,0
106,0.73
107,5
108,0.03
109,0
110,5
111,0.75
112,0.37
113,5
114,4.11
115,0
116,5
117,5
118,0
119,4.4
120,4.92
121,0
122,1.53
123,5
124,0
125,0.14
126,5
127,0.68
128,0.21
129,5
130,3.27
131,0
132,5
133,4.36
134,0
135,5
136,4.51
137,0
138,1.56
139,5
140,0
141,0
142,5
143,0.22
144,0
145,5
146,2.93
147,0
148,5
149,4.41
150,0
151,5
152,4.57
153,0
154,1.96
155,5
156,0
157,0.41
158,5
159,0
160,0
161,5
162,3.11
163,0
164,5
165,5
166,0
167,5
168,5
169,0
170,2.28
171,5
172,0
173,0.87
174,5
175,0
176,0.54
177,5
178,2.7
179,0.3
180,5
181,5
182,0
183,5
184,5
185,0
186,2.76
187,5
188,0
189,0.91
190,5
191,0.04
192,0.16
193,5
194,2.24
195,0.46
196,5
197,4.08
198,0
199,5
200,4.54
201,0
202,3.09
203,3.97
204,0
205,1.06
206,5
207,0
208,0.52
209,5
210,1.91
211,1.52
212,5
213,4.51
214,0
215,5
216,5
217,0
218,3.76
219,4.2
220,0
221,1.33
222,5
223,0
224,0.59
225,5
226,1.48
227,1.19
228,5
229,3.98
230,0
231,5
232,5
233,0
234,4.33
235,4.32
236,0
237,1.09
238,5
239,0
240,0.07
241,5
242,0.8
243,0.96
244,5
245,3.77
246,0
247,5
248,4.64
249,0
250,4.96
251,3.96
252,0
253,1.33
254,5
255,0
256,0
257,5
258,0.31
259,0
260,5
261,3.56
262,0
263,5
264,5
265,0
266,4.89
267,5
268,0
269,2
270,5
271,0
272,0.4
273,5
274,0
275,0.56
276,5
277,3.32
278,0
279,5
280,5
281,0
282,5
283,5
284,0
285,2.07
286,5
287,0
288,0.84
289,5
290,0
291,0.35
292,5
293,2.93
294,0.12
295,5
296,5
297,0
298,5
299,5
300,0
301,2.33
302,5
303,0
304,0
305,5
306,0
307,0
308,5
309,2.64
310,0
311,5
312,5
313,0
314,4.83
315,5
316,0
317,2.82
318,5
319,0
320,0.94
321,5
322,0
323,0.64
324,5
325,2.26
326,0.44
327,5
328,5
329,0
330,5
331,5
332,0
333,2.97
334,4.55
335,0
336,1.03
337,5
338,0
339,0.34
340,5
341,2.09
342,1.56
343,5
344,4.64
345,0
346,5
347,4.98
348,0
349,3.31
350,3.72
351,0
352,0.26
353,5
354,0
355,0
356,5
357,1.88
358,0.72
359,5
360,4.76
361,0
362,5
363,4.62
364,0
365,3.42
366,4.05
367,0
368,0.43
369,5
370,0.04
371,0
372,5
373,1.74
374,0.32
375,5
376,4.59
377,0
378,5
379,5
380,0
381,3.36
382,5
383,0
384,1.08
385,5
386,0
387,0.13
388,5
389,1.47
390,0.07
391,5
392,3.63
393,0
394,5
395,4.59
396,0
397,4.08
398,4.65
399,0
400,1.22
401,5
402,0
403,0.1
404,5
405,0.56
406,0
407,5
408,3.85
409,0
410,5
411,4.77
412,0
413,4.84
414,4.7
415,0
416,1.59
417,5
418,0
419,0.31
420,5
421,0
422,0.46
423,5
424,3.65
425,0.14
426,5
427,4.9
428,0
429,5
430,4.84
431,0
432,1.66
433,5
434,0.03
435,0
436,5
437,0.39
438,0
439,5
440,2.92
441,0.18
442,5
443,4.7
444,0
445,5
446,5
447,0
448,2.31
449,5
450,0
451,0.66
452,5
453,0.08
454,0.38
455,5
456,2.69
457,0.41
458,5
459,4.82
460,0
461,5
462,5
463,0
464,2.74
465,4.7
466,0
467,0.12
468,5
469,0
470,0
471,5
472,2.21
473,0.72
474,5
475,4.98
476,0
477,5
478,5
479,0
480,3.21
481,4.21
482,0
483,1.06
484,5
485,0
486,0.47
487,5
488,1.81
489,1.19
490,5
491,4.7
492,0
493,5
494,5
495,0
496,3.68
497,4.28
498,0
499,0.4
500,5
